#,Song Title,Saga,Video Title,Artist,Views,Likes,Comments,Duration,Uploaded Date,link
11,Luck Runs Out,Ocean,Luck runs out | Epic: The Musical,Crashite,4269367,57726,1037,3:30,2024-06-06,https://www.youtube.com/watch?v=aCy8f96G2v0
11,Luck Runs Out,Ocean,Luck Runs Out | An EPIC: The Musical (The Ocean Saga) Animatic,Lampyrcy,162070,4250,259,3:08,2024-01-05,https://www.youtube.com/watch?v=yHgvpkglsJY
11,Luck Runs Out,Ocean,Luck Runs Out [Epic: The Musical Animatic],Jen | Vampiresi,146458,5017,253,3:02,2024-06-01,https://www.youtube.com/watch?v=iOa1X-BLPfU
11,Luck Runs Out,Ocean,Luck Runs Out | Epic The Musical Animation,doob,14244,821,62,3:07,2024-06-01,https://www.youtube.com/watch?v=haQExMoEK5U
11,Luck Runs Out,Ocean,Luck Runs Out | Epic The Musical Animatic,Skystep1,8332,372,29,3:01,2024-10-19,https://www.youtube.com/watch?v=Iirega7GLME
11,Luck Runs Out,Ocean,Luck Runs Out | Epic: The Musical - Animatic,krump0,113904,8159,324,3:06,2025-03-22,https://www.youtube.com/watch?v=m7awsR548VY
11,Luck Runs Out,Ocean,Luck Runs Out | EPIC: The Musical FULL ANIMATIC,pathos_artist,39794,2800,124,3:04,2025-08-09,https://www.youtube.com/watch?v=LTXM76R99vY
12,Keep Your Friends Close,Ocean,Keep Your Friends Close | EPIC: The Musical ANIMATIC,gigi,15838271,207744,4111,4:21,2024-01-20,https://www.youtube.com/watch?v=UGYny6uI2bA
12,Keep Your Friends Close,Ocean,Keep Your Friends Close / EPIC: The Musical / Animatic,Ximena Natzel,2108148,60412,1371,4:12,2024-01-18,https://www.youtube.com/watch?v=Pk3SkBQ67Y8
12,Keep Your Friends Close,Ocean,Keep Your Friends Close - EPIC: The Musical Animatic,mircsy,416139,0,919,4:09,2024-07-16,https://www.youtube.com/watch?v=2mXmJz-v-mQ
12,Keep Your Friends Close,Ocean,Keep Your Friends Close |  EPIC: The Musical Animatic,BrittPowwPixel,99495,4630,94,4:09,2024-02-21,https://www.youtube.com/watch?v=QaFSIprh7Hc
12,Keep Your Friends Close,Ocean,Keep Your Friends Close | EPIC: The Musical Animatic,GracesGalaxy,21162,803,42,4:06,2024-06-11,https://www.youtube.com/watch?v=vgdXe4q7EcU
12,Keep Your Friends Close,Ocean,Keep your friends close [EPIC MUSICAL] (The Ocean Saga) ANIMATIC by Leifeatsart,Leif ,12528,879,53,4:07,2024-09-10,https://www.youtube.com/watch?v=MOZWVufyp0M
12,Keep Your Friends Close,Ocean,Keep your Friends Close | Epic the Musical Animatic,Skystep1,4919,246,15,4:09,2024-09-28,https://www.youtube.com/watch?v=0Enwx_xc6sE
12,Keep Your Friends Close,Ocean,Keep Your Friends Close | EPIC The Musical [ANIMATIC],Koki Omi,148513,10792,316,4:18,2024-10-16,https://www.youtube.com/watch?v=9ERnEirORbc
12,Keep Your Friends Close,Ocean,Keep Your Friends Close | EPIC: The Musical Animatic,MOON,37341,2427,56,4:06,2024-01-18,https://www.youtube.com/watch?v=OqtXHNYQRJI
